Name,Count,CountPerSecond,First,FirstSeconds,Last,LastSeconds,Minimum,Maximum,Mean,Deviation,
AsyncCompilation/SCWMemoryLimit,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncCompilation/SCWMemoryLoan,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncCompilation/SCWsActive,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
SkeletalMesh/DynamicDataPool/Size,91518,529.580629,4016,7.238617,24096,180.050829,0,24096,17967.121834,3995.456164,
SkeletalMesh/DynamicDataPool/Bucket0,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
SkeletalMesh/DynamicDataPool/Bucket1,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
SkeletalMesh/DynamicDataPool/Bucket2,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
SkeletalMesh/DynamicDataPool/Bucket3,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
SkeletalMesh/DynamicDataPool/Bucket4,91518,529.580645,4016,7.238622,24096,180.050829,0,24096,17953.606154,4001.161379,
StreamableAssets/RegisteredAssets,1,1.000000,7,7.140447,7,7.140447,7,7,7.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/RegisteredObjects,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/RegisteredAssets,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/AddedObjects,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/RemovedObjects,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/UpdateObjects,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/SelfHealedRegistrations,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
LevelStreamingProfiling/NumStreamingLevelsToConsider,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/PassCount,174,1.013849,4,7.139742,131,178.762977,4,298,133.551724,16.354285,
RDG/PassWithParameterCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/PassCullCount,2,21.425870,4,7.439724,2,7.533069,2,4,3.000000,1.414214,
RDG/RenderPassMergeCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/PassDependencyCount,170,0.992276,822,7.439724,310,178.762977,310,822,324.211765,40.514763,
RDG/TextureCount,117,0.689819,1,7.139742,140,176.749330,1,281,140.709402,18.408235,
RDG/TextureReferenceCount,119,0.702854,1039,7.439724,454,176.749330,450,1039,464.949580,59.468386,
RDG/TextureReferenceAverage,119,0.702854,3.697509,7.439725,3.242857,176.749331,3.191489,3.902098,3.271874,0.175422,
RDG/BufferCount,163,0.949755,10,7.139743,104,178.762978,10,212,105.067485,11.285919,
RDG/BufferReferenceCount,164,0.957255,1061,7.439725,416,178.762978,416,1061,428.042683,50.942811,
RDG/BufferReferenceAverage,164,0.957255,5.004717,7.439726,4.000000,178.762978,3.952830,5.004717,4.046000,0.116903,
RDG/ViewCount,165,0.961408,8,7.139743,354,178.762978,8,837,359.963636,46.788170,
RDG/TransientTextureCount,110,0.649697,150,7.439727,72,176.749332,72,150,73.236364,7.410540,
RDG/TransientBufferCount,2,21.426146,20,7.439727,11,7.533071,11,20,15.500000,6.363961,
RDG/TransitionCount,1146,6.627710,4,7.139743,571,180.050132,4,1200,571.253054,25.695438,
RDG/AliasingCount,110,0.649697,170,7.439727,83,176.749332,83,170,84.318182,8.266137,
RDG/TransitionBatchCount,6302,36.446624,1,7.139743,106,180.050133,1,208,107.050619,16.043698,
RDG/MemoryWatermark,8198,47.411842,11736,7.139743,741872,180.050133,11736,860240,742384.744572,9855.719661,
BufferPool/BufferCount,396,2.243785,1,3.058790,84,179.546266,1,94,76.272727,20.843148,
BufferPool/BufferCreateCount,397,2.253477,1,3.058790,0,179.230987,0,80,9.178841,18.932649,
BufferPool/BufferReleaseCount,202,1.179836,10,8.345303,0,179.555489,0,10,1.029703,1.179893,
BufferPool/Size,396,2.243785,65536,3.058790,8594613612,179.546266,65536,8595044972,8344671324.858580,1403919571.572527,
RenderTargetPool/Count,24,3.557624,1,3.121742,24,9.867818,1,24,12.500000,7.071068,
RenderTargetPool/Size,24,3.557624,65536,3.121742,202952704,9.867818,65536,202952704,65793877.333333,74563304.635387,
Scene/Primitives,1,1.000000,45,7.240258,45,7.240258,45,45,45.000000,0.000000,
Scene/Primitives/Adds,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Primitives/Removes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Primitives/Updates/Transforms,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Primitives/Updates/Instances,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/PrimitiveArrayMax,1,1.000000,46,7.240258,46,7.240258,46,46,46.000000,0.000000,
Scene/Lights,1,1.000000,7,7.240258,7,7.240258,7,7,7.000000,0.000000,
Scene/Visibility/NumProcessedPrimitives,1,1.000000,45,7.243345,45,7.243345,45,45,45.000000,0.000000,
Scene/Visibility/FrustumCull/NumCulledPrimitives,5,1.905651,1,7.243345,38,9.867121,1,38,16.400000,14.223220,
Scene/Visibility/FrustumCull/NumPrimitivesPerTask,1,1.000000,1024,7.243345,1024,7.243345,1024,1024,1024.000000,0.000000,
Scene/Visibility/OcclusionCull/NumTestedQueries,2870,16.631692,32,7.429093,0,179.991208,0,32,0.596167,1.018983,
Scene/Visibility/OcclusionCull/NumCulledPrimitives,2,21.033126,23,7.429093,0,7.524181,0,23,11.500000,16.263456,
