Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
FUpscaleCS,120,1643.934703,1.119116,6.168816,6.181667,0.012852,6.229831,6.241811,0.011980,0.002190,0.053843,0.009326,0.009134,
FTonemapCS,110,1225.398728,1.093402,6.240109,6.246955,0.006846,6.323938,6.329876,0.005937,0.003134,0.042055,0.009940,0.007196,
FLightGridInjectionCS,96,877.418270,1.067120,6.492114,6.501457,0.009343,6.522859,6.601526,0.078667,0.004923,0.078667,0.011116,0.008139,
FD3D12Queue::ExecuteCommandLists,6172,767.998054,1.065738,3.891873,3.895901,0.004027,11.928258,11.928352,0.000094,0.000025,0.028278,0.000173,0.000594,
FTemporalAACS,63,788.118673,1.029037,6.030070,6.041561,0.011491,6.071981,6.110007,0.038026,0.004767,0.137771,0.016334,0.021251,
ScreenshotTracing_Execute,4,1.591608,1.018483,8.623784,8.872160,0.248376,10.868120,11.136967,0.268847,0.213238,0.288022,0.254621,0.031987,
ProcessNewlyLoadedUObjects,286,41.573432,0.991918,0.868330,0.868339,0.000008,7.747710,7.747724,0.000013,0.000002,0.987920,0.003468,0.058416,
PostProcessing,1168,497.507161,0.961843,8.502623,8.502928,0.000305,10.849523,10.850328,0.000805,0.000002,0.032609,0.000823,0.002362,
FEngineLoop::Exit,1,1.051269,0.951231,11.109475,12.060707,0.951231,11.109475,12.060707,0.951231,0.951231,0.951231,0.951231,0.000000,
FMaterialShaderMap::CollectPSOPrecacheData,318,115.257335,0.949070,4.765507,4.765510,0.000002,7.524355,7.524551,0.000195,0.000000,0.037612,0.002984,0.007313,
TaskWorkerIsLookingForWork,32933,3027.562485,0.927432,0.904665,0.904695,0.000031,11.782373,11.782392,0.000019,0.000000,0.001891,0.000028,0.000034,
InitializeCVarsForActiveDeviceProfile,1,1.092897,0.914999,1.639209,2.554207,0.914999,1.639209,2.554207,0.914999,0.914999,0.914999,0.914999,0.000000,
FWindowsDeviceProfileSelectorModule::GetRuntimeDeviceProfileName,2,0.659587,0.914520,1.639257,2.553775,0.914518,4.671454,4.671456,0.000002,0.000002,0.914518,0.457260,0.646660,
LoadDynamicRHIModule,2,1.321554,0.912313,1.641610,2.553765,0.912154,3.154821,3.154980,0.000158,0.000158,0.912154,0.456156,0.644879,
ChooseDefaultRHI,2,1.322979,0.884145,1.643117,2.527262,0.884145,3.154856,3.154857,0.000001,0.000001,0.884145,0.442073,0.625184,
WaitUntilTasksComplete,1010,125.613963,0.846597,3.893105,3.893127,0.000021,11.930517,11.933613,0.003096,0.000000,0.170429,0.000838,0.006502,
FHairInterpolationCS,64,739.339931,0.810246,5.667360,5.671844,0.004484,5.742114,5.753923,0.011809,0.003353,0.094614,0.012660,0.012890,
FDiaphragmDOFGatherCS,82,1629.450935,0.792289,6.419319,6.427209,0.007890,6.461426,6.469643,0.008217,0.003018,0.053953,0.009662,0.006748,
CSMShadowDepth,78,499.511056,0.772488,4.817020,4.913239,0.096219,4.970529,4.973173,0.002644,0.002088,0.096219,0.009904,0.017832,
FMeshPassProcessor::AddGraphicsPipelineStateInitializer,14170,5138.826653,0.747219,4.767110,4.778313,0.011203,7.524547,7.524549,0.000001,0.000000,0.018249,0.000053,0.000467,
FBuildInstanceIdBufferAndCommandsFromPrimitiveIdsCs,64,816.992421,0.740111,6.545894,6.550566,0.004672,6.601572,6.624230,0.022658,0.002299,0.034982,0.011564,0.007521,
UObjectLoadAllCompiledInDefaultProperties,1,1.378537,0.725407,4.449671,5.175077,0.725407,4.449671,5.175077,0.725407,0.725407,0.725407,0.725407,0.000000,
FRenderSeparateCompositionTexturesCS,64,483.519539,0.721296,6.701656,6.708621,0.006965,6.815730,6.834019,0.018288,0.004609,0.054659,0.011270,0.006718,
FRenderSkyViewLutCS,32,754.247355,0.702077,5.858836,5.879609,0.020773,5.864538,5.901263,0.036725,0.006352,0.081897,0.021940,0.016697,
RHIInit,1,1.508153,0.663063,3.154596,3.817658,0.663063,3.154596,3.817658,0.663063,0.663063,0.663063,0.663063,0.000000,
CustomDepth,26,-1383.928334,0.661008,4.924246,4.926695,0.002450,4.815869,4.905459,0.089589,0.002062,0.099510,0.025423,0.037573,
AppInit,1,1.518158,0.658693,0.930979,1.589671,0.658693,0.930979,1.589671,0.658693,0.658693,0.658693,0.658693,0.000000,
Tasks::Wait,2470,717.550715,0.617335,8.326555,8.326559,0.000004,11.768819,11.768820,0.000002,0.000000,0.260145,0.000250,0.007398,
FPluginManager::LoadModulesForEnabledPlugins,10,1.545892,0.567527,1.084934,1.428296,0.343362,7.550136,7.553693,0.003557,0.001385,0.343362,0.056753,0.106924,
FAudioMixerWasapi_OpenAudioStream,1,1.844233,0.542231,6.948906,7.491137,0.542231,6.948906,7.491137,0.542231,0.542231,0.542231,0.542231,0.000000,
FDiaphragmDOFRecombineCS,42,850.367683,0.535777,6.377831,6.385372,0.007540,6.415557,6.427222,0.011665,0.005280,0.029809,0.012757,0.006343,
FD3D12DynamicRHI::Init,1,1.871250,0.534402,3.283160,3.817562,0.534402,3.283160,3.817562,0.534402,0.534402,0.534402,0.534402,0.000000,
FTaskBase::WaitImpl_StateChangeEvent_WaitFor,1061,140.131953,0.528920,4.140327,4.141208,0.000881,11.711658,11.711762,0.000105,0.000000,0.031027,0.000499,0.001382,
FD3D12Adapter::InitializeDevices,1,1.922752,0.520088,3.283220,3.803308,0.520088,3.283220,3.803308,0.520088,0.520088,0.520088,0.520088,0.000000,
SlateGlobalPSOCollector,32,699.800775,0.513202,5.551367,5.566918,0.015551,5.557945,5.597095,0.039149,0.002027,0.080928,0.016038,0.020581,
FTaskBase::TryRetractAndExecute,4625,593.695122,0.498906,4.140323,4.140324,0.000001,11.930517,11.930517,0.000000,0.000000,0.241341,0.000108,0.003585,
StaticLoadObjectInternal,119,35.763068,0.495104,4.675547,4.679230,0.003683,8.002213,8.003002,0.000789,0.000003,0.087734,0.004161,0.009115,
RenderDeferredLighting,1400,600.164214,0.494667,8.516021,8.516397,0.000376,10.848696,10.848715,0.000019,0.000003,0.022599,0.000353,0.001272,
VolumetricFogGlobalPSOCollector,24,829.654622,0.488542,5.608623,5.625659,0.017036,5.626624,5.637551,0.010927,0.004199,0.050260,0.020356,0.012858,
FlushAsyncLoading,84,12.181530,0.482735,4.675609,4.679219,0.003610,11.571290,11.571295,0.000005,0.000004,0.087583,0.005747,0.010388,
FlushRenderingCommands,39,4.871157,0.481264,3.891567,3.891866,0.000299,11.896886,11.897878,0.000992,0.000035,0.189592,0.012340,0.034805,
Slate::DrawWindows,189,27.055122,0.480565,4.123588,4.127395,0.003807,11.109182,11.109326,0.000144,0.000092,0.431349,0.002543,0.031358,
Slate::Tick (Time and Widgets),188,56.304237,0.478545,7.770323,8.201708,0.431384,11.109176,11.109326,0.000151,0.000096,0.431384,0.002545,0.031444,
FConfigContext::Load,218,21.198664,0.461965,0.828559,0.829400,0.000841,11.112194,11.112225,0.000032,0.000032,0.024075,0.002119,0.002754,
UpdateAllPrimitiveSceneInfos,573,156.173761,0.434574,8.099737,8.100627,0.000890,11.768721,11.768727,0.000006,0.000003,0.023803,0.000758,0.001749,
FD3D12Adapter::CreateRootDevice,1,2.447469,0.408585,3.283224,3.691810,0.408585,3.283224,3.691810,0.408585,0.408585,0.408585,0.408585,0.000000,
FTaskBase::WaitWithNamedThreadsSupport,335,43.002915,0.406654,4.140323,4.141209,0.000887,11.930471,11.930492,0.000021,0.000021,0.031031,0.001214,0.002022,
FEvaluateConcatenateScatterCS,13,397.707978,0.394944,5.968067,5.994820,0.026753,5.978344,6.000754,0.022410,0.017709,0.051851,0.030380,0.010549,
AsyncLoadingTime,6576,1977.003386,0.373139,4.676779,4.676781,0.000002,8.003025,8.003025,0.000000,0.000000,0.082147,0.000057,0.001194,
Translucency,2444,1001.627481,0.372805,8.408488,8.408732,0.000244,10.848515,10.848517,0.000003,0.000001,0.028613,0.000153,0.001218,
EndDrawingViewport,772,110.741280,0.350313,4.138439,4.138509,0.000070,11.109634,11.109642,0.000008,0.000002,0.027619,0.000454,0.001330,
RenderTranslucency,2820,1155.724158,0.349307,8.408489,8.408732,0.000243,10.848515,10.848517,0.000002,0.000001,0.028613,0.000124,0.001040,
ParallelExecute (Async),2260,1006.279003,0.347244,8.602819,8.603127,0.000308,10.848494,10.848717,0.000223,0.000002,0.026426,0.000154,0.000914,
RHI_CloseChain,11554,3280.879489,0.347103,8.408921,8.409048,0.000128,11.930533,11.930537,0.000005,0.000000,0.016088,0.000030,0.000246,
FPluginManager::ConfigureEnabledPlugins,1,2.927318,0.341610,1.084939,1.426548,0.341610,1.084939,1.426548,0.341610,0.341610,0.341610,0.341610,0.000000,
ProcessEnabledPlugins,1,2.954912,0.338420,1.086380,1.424799,0.338420,1.086380,1.424799,0.338420,0.338420,0.338420,0.338420,0.000000,
LoadIniFileHierarchy,206,52.500061,0.330680,0.969681,0.986860,0.017179,4.884940,4.893486,0.008546,0.000450,0.017179,0.001605,0.002207,
Other Classes,1,3.108310,0.321718,4.853339,5.175057,0.321718,4.853339,5.175057,0.321718,0.321718,0.321718,0.321718,0.000000,
LoadModule.excl,293,42.358028,0.313613,0.830726,0.830805,0.000078,7.747683,7.747951,0.000268,0.000007,0.061455,0.001070,0.004954,
LoadModule.excl.all,293,42.358028,0.313613,0.830726,0.830805,0.000078,7.747683,7.747951,0.000268,0.000007,0.061455,0.001070,0.004954,
PSOPrecache: Missed,39,302.908622,0.310820,8.095795,8.112210,0.016414,8.224544,8.224547,0.000003,0.000003,0.034905,0.007970,0.008019,
DeferredLightGlobalPSOCollector,6,89.654874,0.309659,5.569542,5.608521,0.038979,5.568104,5.636466,0.068362,0.024066,0.068362,0.051610,0.017319,
FHZBBuildCS,48,2302.975636,0.309096,5.955332,5.958393,0.003061,5.973817,5.976174,0.002357,0.001641,0.055391,0.006439,0.008602,
LaunchVisibilityTasks,188,66.214431,0.304028,8.005122,8.005254,0.000132,10.844339,10.844382,0.000043,0.000017,0.023041,0.001617,0.002445,
UWorld_Tick,188,61.595137,0.289111,7.760346,7.764199,0.003852,10.810356,10.812535,0.002179,0.000730,0.005160,0.001538,0.000601,
InterruptQueue_Process,22128,2710.573515,0.276358,3.804201,3.804327,0.000126,11.967785,11.967787,0.000002,0.000001,0.001996,0.000012,0.000044,
FGSTwoForOneTransformCS,12,579.878226,0.270065,6.671947,6.698543,0.026596,6.688237,6.692641,0.004404,0.004404,0.041963,0.022505,0.011003,
Slate::DrawWindow,193,27.628185,0.270022,4.123681,4.123783,0.000102,11.109215,11.109301,0.000086,0.000056,0.241109,0.001399,0.017345,
