Name,Count,CountPerSecond,First,FirstSeconds,Last,LastSeconds,Minimum,Maximum,Mean,Deviation,
AsyncCompilation/SCWMemoryLimit,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncCompilation/SCWMemoryLoan,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncCompilation/SCWsActive,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
SkeletalMesh/DynamicDataPool/Size,1125,315.362404,4016,8.003761,36144,11.571085,0,36144,6125.738667,4147.005781,
SkeletalMesh/DynamicDataPool/Bucket0,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
SkeletalMesh/DynamicDataPool/Bucket1,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
SkeletalMesh/DynamicDataPool/Bucket2,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
SkeletalMesh/DynamicDataPool/Bucket3,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
SkeletalMesh/DynamicDataPool/Bucket4,1125,315.365295,4016,8.003794,36144,11.571085,0,36144,6122.168889,4143.630442,
StreamableAssets/RegisteredAssets,1,1.000000,7,7.767709,7,7.767709,7,7,7.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/RegisteredObjects,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/RegisteredAssets,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/AddedObjects,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/RemovedObjects,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/UpdateObjects,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
StreamableAssets/SimpleStreamableAssetManager/SelfHealedRegistrations,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
LevelStreamingProfiling/NumStreamingLevelsToConsider,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/PassCount,18,5.386824,4,7.767574,136,11.109061,4,298,143.055556,50.848648,
RDG/PassWithParameterCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/PassCullCount,2,19.260549,4,8.223096,2,8.326936,2,4,3.000000,1.414214,
RDG/RenderPassMergeCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
RDG/PassDependencyCount,16,5.544074,822,8.223097,312,11.109061,310,822,372.562500,121.352912,
RDG/TextureCount,12,3.591216,1,7.767575,141,11.109061,1,281,142.583333,59.722781,
RDG/TextureReferenceCount,15,5.197570,1039,8.223097,457,11.109061,451,1039,556.400000,140.566100,
RDG/TextureReferenceAverage,15,5.197571,3.697509,8.223098,3.241135,11.109061,3.198581,3.902098,3.659890,0.285114,
RDG/BufferCount,9,3.509375,10,7.767575,104,10.332134,10,212,106.222222,50.581068,
RDG/BufferReferenceCount,11,5.215653,1061,8.223098,416,10.332134,416,1061,495.636364,188.702026,
RDG/BufferReferenceAverage,11,5.215651,5.004717,8.223098,4.000000,10.332135,3.952830,5.004717,4.272002,0.325479,
RDG/ViewCount,11,4.289235,8,7.767575,354,10.332135,8,837,380.727273,186.921422,
RDG/TransientTextureCount,7,3.329363,150,8.223099,72,10.325603,72,150,84.000000,29.137605,
RDG/TransientBufferCount,2,19.260679,20,8.223099,11,8.326937,11,20,15.500000,6.363961,
RDG/TransitionCount,27,8.080237,4,7.767575,575,11.109062,4,1200,601.555556,167.168348,
RDG/AliasingCount,7,3.329363,170,8.223099,83,10.325603,83,170,96.285714,32.535695,
RDG/TransitionBatchCount,54,16.160474,1,7.767576,134,11.109062,1,223,112.666667,25.084010,
RDG/MemoryWatermark,118,35.313630,11736,7.767576,741872,11.109062,11736,860240,780794.915254,76346.725681,
BufferPool/BufferCount,101,14.961030,1,3.811957,84,10.562830,1,94,50.089109,27.982887,
BufferPool/BufferCreateCount,102,15.712434,1,3.811957,0,10.303632,0,80,32.852941,25.332403,
BufferPool/BufferReleaseCount,6,3.866600,10,9.021199,0,10.572950,0,10,2.333333,3.881580,
BufferPool/Size,101,14.961031,65536,3.811958,8594613612,10.562829,65536,8595044972,7614470996.752475,2657538433.652642,
RenderTargetPool/Count,46,5.732818,1,3.876001,2,11.899978,1,24,12.500000,6.725573,
RenderTargetPool/Size,46,5.732818,65536,3.876001,45056,11.899978,45056,202952704,88301478.956522,80060809.274498,
Scene/Primitives,2,0.531524,45,8.005865,0,11.768627,0,45,22.500000,31.819805,
Scene/Primitives/Adds,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Primitives/Removes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Primitives/Updates/Transforms,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/Primitives/Updates/Instances,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Scene/PrimitiveArrayMax,1,1.000000,46,8.005865,46,8.005865,46,46,46.000000,0.000000,
Scene/Lights,2,0.531524,7,8.005864,0,11.768627,0,7,3.500000,4.949747,
Scene/Visibility/NumProcessedPrimitives,1,1.000000,45,8.008526,45,8.008526,45,45,45.000000,0.000000,
Scene/Visibility/FrustumCull/NumCulledPrimitives,5,2.165999,1,8.008526,38,10.316929,1,38,16.400000,14.223220,
Scene/Visibility/FrustumCull/NumPrimitivesPerTask,1,1.000000,1024,8.008526,1024,8.008526,1024,1024,1024.000000,0.000000,
Scene/Visibility/OcclusionCull/NumTestedQueries,103,39.861070,32,8.212006,0,10.795981,0,32,3.951456,3.705795,
Scene/Visibility/OcclusionCull/NumCulledPrimitives,2,18.564517,23,8.212006,0,8.319738,0,23,11.500000,16.263456,
