Name,Count,FirstSeconds,LastSeconds,
WinMain.Enter,1,0.325471,0.325471,
DefaultMain,1,0.325624,0.325624,
FlushAsyncLoading,83,4.098833,11.154675,
LoadMap - /Game/Calibration/Maps/EmberveilCalibration,1,7.005208,7.005208,
GC,1,7.010582,7.010582,
LoadMapComplete - /Game/Calibration/Maps/EmberveilCalibration,1,7.052195,7.052195,
Tick loop starting,1,7.055726,7.055726,
PSO/Encountered new graphics PSO,35,7.297584,9.345242,
PSO/Encountered new compute PSO,1,7.299296,7.299296,
Cmd: CSVProfile STOP,2,7.454726,7.455037,
Engine exit requested (reason: Win RequestExit),1,10.058891,10.058891,
Tick loop end,1,10.155536,10.155536,
Engine exit requested (reason: EngineExit() was called),1,10.155537,10.155537,
EngineLoop.Exit,1,10.155571,10.155571,
WinMain.Exit,1,12.062745,12.062745,
