Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
FEngineLoop::Init,1,1.000000,0.012045,0.012045,0.012045,0.012045,0.012045,0.000000,0.000000,0.000000,0.000000,0.000000
GEngine->Start(),1,1.000000,0.012045,0.012045,0.012045,0.012045,0.012045,0.000000,0.000000,0.000000,0.000000,0.000000
UGameEngine::Start,1,1.000000,0.012045,0.012045,0.012045,0.012045,0.012045,0.000000,0.000000,0.000000,0.000000,0.000000
UGameInstance::StartGameInstance,1,1.000000,0.012045,0.012045,0.012045,0.012045,0.012045,0.000170,0.000170,0.000170,0.000170,0.000170
ParallelFor,11,11.000000,0.006458,0.000002,0.002624,0.000587,0.000081,0.000144,0.000001,0.000039,0.000013,0.000012
ParallelFor Task,3,3.000000,0.003025,0.000018,0.002598,0.001008,0.000409,0.003025,0.000018,0.002598,0.001008,0.000409
ShrinkUObjectHashTables,1,1.000000,0.002680,0.002680,0.002680,0.002680,0.002680,0.000056,0.000056,0.000056,0.000056,0.000056
IncrementalPurgeGarbage,1,1.000000,0.001772,0.001772,0.001772,0.001772,0.001772,0.000015,0.000015,0.000015,0.000015,0.000015
IncrementalDestroyGarbage,1,1.000000,0.001755,0.001755,0.001755,0.001755,0.001755,0.000002,0.000002,0.000002,0.000002,0.000002
FRealtimeGC_PerformReachabilityAnalysis,1,1.000000,0.001572,0.001572,0.001572,0.001572,0.001572,0.000044,0.000044,0.000044,0.000044,0.000044
CollectGarbageFull,1,1.000000,0.001528,0.001528,0.001528,0.001528,0.001528,0.000091,0.000091,0.000091,0.000091,0.000091
GC.VerifyAssumptions,1,1.000000,0.001485,0.001485,0.001485,0.001485,0.001485,0.001485,0.001485,0.001485,0.001485,0.001485
PerformReachabilityAnalysisOnObjectsInternal,1,1.000000,0.001414,0.001414,0.001414,0.001414,0.001414,0.001323,0.001323,0.001323,0.001323,0.001323
ConditionalFinishDestroy,1,1.000000,0.001351,0.001351,0.001351,0.001351,0.001351,0.001191,0.001191,0.001191,0.001191,0.001191
GatherUnreachableObjects,1,1.000000,0.001219,0.001219,0.001219,0.001219,0.001219,0.000025,0.000025,0.000025,0.000025,0.000025
NotifyUnreachableObjects,1,1.000000,0.001170,0.001170,0.001170,0.001170,0.001170,0.000019,0.000019,0.000019,0.000019,0.000019
ParallelFor.Wait,4,4.000000,0.001067,0.000040,0.000724,0.000267,0.000230,0.001067,0.000040,0.000724,0.000267,0.000230
FMemory::Trim,1,1.000000,0.000893,0.000893,0.000893,0.000893,0.000893,0.000214,0.000214,0.000214,0.000214,0.000214
FTaskGraphInterface_BroadcastSlow,1,1.000000,0.000679,0.000679,0.000679,0.000679,0.000679,0.000013,0.000013,0.000013,0.000013,0.000013
FTaskBase::TryRetractAndExecute,2,2.000000,0.000678,0.000011,0.000667,0.000339,0.000663,0.000014,0.000003,0.000011,0.000007,0.000011
FMallocBinnedCommonUtils::FlushCurrentThreadCache,1,1.000000,0.000665,0.000665,0.000665,0.000665,0.000665,0.000014,0.000014,0.000014,0.000014,0.000014
RemoveUnreachableScriptObjects,1,1.000000,0.000663,0.000663,0.000663,0.000663,0.000663,0.000001,0.000001,0.000001,0.000001,0.000001
FMallocBinnedCommonUtils::TrimThreadFreeBlockLists,1,1.000000,0.000651,0.000651,0.000651,0.000651,0.000651,0.000651,0.000651,0.000651,0.000651,0.000651
