Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
PSOPrecache: Precaching,2291,1075.213659,23.947447,4.171598,4.246589,0.074991,6.286835,6.302337,0.015502,0.000009,0.090996,0.010453,0.010192,
Priority: Medium,1988,933.010547,21.338363,4.171600,4.246589,0.074989,6.286836,6.302337,0.015500,0.000008,0.090994,0.010734,0.010398,
FD3D12DynamicRHI::RHICreateComputePipelineState,1936,6013.202956,18.848359,7.299440,7.317187,0.017748,7.611199,7.621398,0.010199,0.000105,0.070793,0.009736,0.006884,
WaitForTasks,5057,617.388764,12.572412,3.544561,3.595427,0.050866,11.732135,11.735510,0.003375,0.000002,2.815288,0.002486,0.042576,
ExecuteForegroundTask,50486,4436.639184,11.730190,0.436007,0.454524,0.018517,11.740816,11.815342,0.074526,0.000000,0.141321,0.000232,0.001541,
IDXGIOutput::WaitForVBlank_NoBusyWait,455,59.960034,7.587175,3.745624,3.763150,0.017527,11.317368,11.334012,0.016643,0.004115,0.036220,0.016675,0.001414,
FD3D12DynamicRHI::RHICreateGraphicsPipelineState,394,193.016251,5.156732,7.304244,7.311626,0.007382,9.345336,9.345523,0.000187,0.000007,0.090948,0.013088,0.019130,
FShaderMapResource_SharedCode_InitRHI,4971,1565.048940,5.001597,4.138368,4.140703,0.002335,7.314624,7.314626,0.000002,0.000000,0.028630,0.001006,0.002476,
FIoStoreShaderCodeArchive::CreateShader,2638,830.539106,4.966165,4.138370,4.140701,0.002331,7.313867,7.314620,0.000753,0.000005,0.028613,0.001883,0.003133,
Scene,13095,5347.832719,3.750868,7.646436,7.646814,0.000378,10.095031,10.095091,0.000061,0.000000,0.065442,0.000286,0.001537,
FEngineLoop::PreInitPreStartupScreen,1,0.289182,3.458026,0.342177,3.800203,3.458026,0.342177,3.800203,3.458026,3.458026,3.458026,3.458026,0.000000,
RHI_Translate,21107,2661.342787,3.446325,3.804753,3.806292,0.001539,11.735704,11.735712,0.000008,0.000001,0.051615,0.000163,0.001043,
WorldGridMaterial,280,1503.804626,3.387859,4.171611,4.246584,0.074973,4.349979,4.357805,0.007826,0.001556,0.082260,0.012099,0.017864,
FEngineLoop::Tick,270,87.102503,3.099473,7.055739,7.455347,0.399609,10.057361,10.155535,0.098174,0.002293,0.399609,0.011480,0.028567,
Priority: High,302,325.674413,2.591037,4.246617,4.251990,0.005373,5.148165,5.173924,0.025759,0.001563,0.078714,0.008580,0.008510,
FEngineLoop::Init,1,0.520607,1.920834,5.134873,7.055707,1.920834,5.134873,7.055707,1.920834,1.920834,1.920834,1.920834,0.000000,
FCompression::UncompressMemory,3093,359.223974,1.910678,0.460025,0.460552,0.000527,9.070207,9.070252,0.000045,0.000001,0.016648,0.000618,0.001310,
FCompression_UncompressMemory,3093,359.224000,1.909056,0.460025,0.460552,0.000527,9.070207,9.070252,0.000044,0.000001,0.016646,0.000617,0.001309,
FEngineLoop::Exit,1,0.524339,1.907163,10.155570,12.062734,1.907163,10.155570,12.062734,1.907163,1.907163,1.907163,1.907163,0.000000,
Oodle.Decode,3093,359.226394,1.902437,0.460081,0.460474,0.000394,9.070208,9.070250,0.000041,0.000001,0.016641,0.000615,0.001309,
ExecuteBackgroundTask,1400,144.402680,1.870904,0.459994,0.460574,0.000579,10.155088,10.155105,0.000017,0.000000,0.042701,0.001336,0.005247,
GEngine->Init,1,0.546832,1.828714,5.135189,6.963903,1.828714,5.135189,6.963903,1.828714,1.828714,1.828714,1.828714,0.000000,
UGameEngine::Init,1,0.546836,1.828702,5.135198,6.963899,1.828702,5.135198,6.963899,1.828702,1.828702,1.828702,1.828702,0.000000,
UEngine::Init,1,0.553238,1.807542,5.135239,6.942781,1.807542,5.135239,6.942781,1.807542,1.807542,1.807542,1.807542,0.000000,
FMaterialPSOPrecacheCollectionTask,317,112.502618,1.759475,4.137713,4.178282,0.040570,6.954446,6.955425,0.000979,0.000002,0.042693,0.005550,0.009928,
Sync_RenderingThread,309,38.090569,1.720989,3.544004,3.544012,0.000007,11.656245,11.656249,0.000004,0.000001,0.272783,0.005570,0.016913,
GameThreadWaitForTask,355,44.316953,1.714071,3.545361,3.545434,0.000073,11.555191,11.555840,0.000649,0.000011,0.272476,0.004828,0.015143,
SubmissionQueue_Process,6717,813.367150,1.672166,3.482415,3.482417,0.000002,11.740678,11.740678,0.000001,0.000000,0.028761,0.000249,0.000749,
FDeferredShadingSceneRenderer_Render,270,93.126049,1.609355,7.193284,7.263573,0.070289,10.089803,10.092580,0.002778,0.002072,0.070289,0.005961,0.005105,
FAudioDevice::Init,1,0.625225,1.599423,5.342569,6.941992,1.599423,5.342569,6.941992,1.599423,1.599423,1.599423,1.599423,0.000000,
FEngineLoop::PreInitPostStartupScreen,1,0.749275,1.334623,3.800206,5.134829,1.334623,3.800206,5.134829,1.334623,1.334623,1.334623,1.334623,0.000000,
InitializeCVarsForActiveDeviceProfile,1,0.753573,1.327012,1.197681,2.524693,1.327012,1.197681,2.524693,1.327012,1.327012,1.327012,1.327012,0.000000,
FWindowsDeviceProfileSelectorModule::GetRuntimeDeviceProfileName,2,0.690101,1.326701,1.197712,2.524411,1.326699,4.095837,4.095839,0.000002,0.000002,1.326699,0.663351,0.938117,
LoadDynamicRHIModule,2,1.215708,1.325283,1.199203,2.524404,1.325201,2.844253,2.844335,0.000082,0.000082,1.325201,0.662642,0.937000,
TaskWorkerIsLookingForWork,46579,4099.953592,1.311639,0.454529,0.454551,0.000022,11.815355,11.815389,0.000034,0.000000,0.002199,0.000028,0.000032,
ChooseDefaultRHI,2,1.216511,1.292451,1.200225,2.492675,1.292450,2.844271,2.844272,0.000001,0.000001,1.292450,0.646225,0.913900,
PostProcessing,1660,593.761930,1.248688,7.299415,7.317193,0.017778,10.094800,10.095148,0.000348,0.000004,0.039311,0.000752,0.002059,
