Name,Count,CountPerSecond,First,FirstSeconds,Last,LastSeconds,Minimum,Maximum,Mean,Deviation,
PlatformMemory/TotalPhysical,1,1.000000,33736089600,2.150728,33736089600,2.150728,33736089600,33736089600,33736089600.000000,0.000000,
PlatformMemory/TotalVirtual,1,1.000000,67022086144,2.150728,67022086144,2.150728,67022086144,67022086144,67022086144.000000,0.000000,
PlatformMemory/PageSize,1,1.000000,4096,2.150728,4096,2.150728,4096,4096,4096.000000,0.000000,
PlatformMemory/AvailablePhysical,3,0.536760,12331126784,2.150728,11491340288,7.739813,11491340288,12331126784,11771584512.000000,484578052.978514,
PlatformMemory/AvailableVirtual,3,0.536760,38947872768,2.150728,37396643840,7.739813,37396643840,38947872768,37917272746.666664,892541707.771563,
PlatformMemory/UsedPhysical,3,0.536760,352538624,2.150728,1099128832,7.739814,352538624,1104265216,851977557.333333,432534428.348776,
PlatformMemory/PeakUsedPhysical,3,0.536760,352538624,2.150728,1105866752,7.739814,352538624,1105866752,854234453.333333,434482041.212413,
PlatformMemory/UsedVirtual,3,0.536760,298704896,2.150728,1744310272,7.739814,298704896,1750904832,1264640000.000000,836530836.795642,
PlatformMemory/PeakUsedVirtual,2,0.436514,298704896,2.150728,1775689728,6.732481,298704896,1775689728,1037197312.000000,1044385990.416874,
IoDispatcher/ChunkDecoderQueueCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
IoDispatcher/AvailableChunkDecoderWorkerCount,4,13333333.332950,1,0.411486,4,0.411486,1,4,2.500000,1.290994,
QueuedThreadPoolWrapper/ScheduledWorkAllocs,36,5.862664,1,3.476373,0,9.616926,0,18,9.000000,5.286100,
PC / Memory / Total Virtual,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Total Physical,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Used Physical (Main Process),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Used Virtual (Main Process),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Available Physical,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Available Virtual,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Free & Zero Page List,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Private Bytes (Local Shader Compile Workers),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Used Virtual (Local Shader Compile Workers),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Demand Zero Page Faults,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
PC / GPU Engine / Total Usage,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
PC / GPU Memory / Used Dedicated,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / CPU / Total Usage,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
PC / CPU / Total Thread Count,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Network / Total Bytes Sent,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Network / Total Bytes Received,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
BulkData/BatchRequest/Count,8,2.322888,1,6.162465,0,9.606453,0,2,1.000000,0.755929,
BulkData/BatchRequest/Pending,8,5.075955,1,6.162474,0,7.738532,0,2,0.750000,0.707107,
EditorBulkData/PayloadDataLoaded,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
EditorBulkData/PayloadDataPulled,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncLoading/PackagesQueued,170,69.837750,1,3.401933,0,5.836147,0,8,0.829412,1.341316,
AsyncLoading/PackagesLoading,282,115.878979,1,3.403375,0,5.836948,0,31,4.797872,7.391800,
AsyncLoading/PackagesWithRemainingWork,296,121.549992,1,3.401933,0,5.837145,0,35,7.628378,7.933435,
AsyncLoading/PendingIoRequests,458,188.230598,1,3.403399,0,5.836584,0,44,9.037118,12.147198,
AsyncLoading/TotalLoaded,141,57.967592,487,3.404190,8390391,5.836583,487,8390391,1160754.007092,1285297.007391,
AsyncLoadingThread/FileSystemLoads,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncLoadingThread/IoStoreLoads,186,76.454900,1,3.403350,186,5.836157,1,186,93.500000,53.837719,
Chaos/Solver/Bodies/NumDisabled,1,1.000000,5,9.429685,5,9.429685,5,5,5.000000,0.000000,
Chaos/Solver/Bodies/Num,2,0.576021,5,5.957587,0,9.429685,0,5,2.500000,3.535534,
Chaos/Solver/Bodies/NumStatic,2,0.576021,1,5.957588,0,9.429685,0,1,0.500000,0.707107,
Chaos/Solver/Bodies/NumKinematic,2,0.576021,4,5.957588,0,9.429685,0,4,2.000000,2.828427,
Chaos/Solver/Bodies/NumDynamic,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Bodies/NumGC,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Bodies/NumMoving,112,32.831615,3,6.018339,0,9.429685,0,4,1.750000,1.372182,
Chaos/Solver/Collisions/NumStaticShapes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumKinematicShapes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumDynamicShapes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Islands/NumIslands,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Islands/NumIslandGroups,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumValidConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumActiveConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumRestoredConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumActiveManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumRestoredManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumUpdatedManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Joints/NumConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Character/NumConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumBroadPhasePairs,2,7.746431,-842150451,5.699407,0,5.957590,-842150451,0,-421075225.500000,595490294.681409,
Chaos/Solver/Collisions/NumMidPhases,2,7.746431,-842150451,5.699407,0,5.957590,-842150451,0,-421075225.500000,595490294.681409,
Chaos/Solver/MidPhase/NumShapePair,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/MidPhase/NumGeneric,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Iterations/NumPosition,1,1.000000,8,5.699407,8,5.699407,8,8,8.000000,0.000000,
Chaos/Solver/Iterations/NumVelocity,1,1.000000,2,5.699407,2,5.699407,2,2,2.000000,0.000000,
Chaos/Solver/Iterations/NumProjection,1,1.000000,1,5.699407,1,5.699407,1,1,1.000000,0.000000,
Chaos/Solver/Colors/NumCollisionColors,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Colors/NumLinearJointColors,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Colors/NumNonLinearJointColors,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Colors/NumSuspensionConstraintColors,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Colors/NumCharacterGroundConstraintColors,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
