Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
PSOPrecache: Precaching,2291,1506.355327,18.028772,3.477819,3.529820,0.052001,4.998693,4.998708,0.000015,0.000011,0.072840,0.007869,0.007697,
Priority: Medium,1988,1307.131355,16.303703,3.477820,3.529819,0.051999,4.998694,4.998708,0.000014,0.000010,0.072839,0.008201,0.007832,
FD3D12DynamicRHI::RHICreateComputePipelineState,1936,1045.854960,14.492856,4.179287,4.184648,0.005361,6.024090,6.030404,0.006314,0.000019,0.072809,0.007486,0.005965,
ExecuteForegroundTask,36710,3959.925639,10.379699,0.436416,0.468700,0.032284,9.667961,9.706792,0.038831,0.000000,0.162071,0.000283,0.001710,
WaitForTasks,3689,549.166240,9.590120,2.946952,2.987778,0.040826,9.662359,9.664407,0.002049,0.000004,2.216953,0.002600,0.037525,
IDXGIOutput::WaitForVBlank_NoBusyWait,372,59.738429,6.224507,3.097738,3.113444,0.015706,9.308484,9.324885,0.016401,0.005732,0.038111,0.016733,0.002070,
FShaderMapResource_SharedCode_InitRHI,4983,2030.339870,4.819394,3.445139,3.445470,0.000331,5.899407,5.899408,0.000001,0.000000,0.036041,0.000967,0.002180,
FIoStoreShaderCodeArchive::CreateShader,2650,1079.754101,4.787789,3.445141,3.445469,0.000328,5.898930,5.899404,0.000474,0.000006,0.036034,0.001807,0.002712,
FD3D12DynamicRHI::RHICreateGraphicsPipelineState,394,175.422802,3.430120,5.893039,5.896833,0.003794,8.138836,8.139042,0.000206,0.000002,0.061058,0.008706,0.013142,
Scene,9375,3436.585089,3.144215,6.039371,6.039441,0.000070,8.767353,8.767370,0.000017,0.000000,0.032895,0.000335,0.001164,
FEngineLoop::Tick,191,60.930941,3.134361,5.720876,5.953178,0.232302,8.721704,8.855572,0.133868,0.003909,0.232534,0.016410,0.029410,
RHI_Translate,15055,4152.952338,3.077986,6.039370,6.039535,0.000165,9.664498,9.664502,0.000004,0.000000,0.022067,0.000204,0.000697,
FEngineLoop::PreInitPreStartupScreen,1,0.354393,2.821726,0.322212,3.143938,2.821726,0.322212,3.143938,2.821726,2.821726,2.821726,2.821726,0.000000,
FCompression::UncompressMemory,3105,428.619195,2.213555,0.494289,0.494657,0.000368,7.738443,7.738481,0.000039,0.000001,0.033963,0.000713,0.001555,
FCompression_UncompressMemory,3105,428.619230,2.211774,0.494289,0.494656,0.000367,7.738443,7.738481,0.000038,0.000001,0.033963,0.000712,0.001555,
Oodle.Decode,3105,428.619485,2.203134,0.494292,0.494537,0.000246,7.738444,7.738479,0.000035,0.000001,0.033960,0.000710,0.001554,
WorldGridMaterial,280,2413.691146,2.094445,3.477824,3.529812,0.051988,3.586822,3.593829,0.007007,0.001418,0.061083,0.007480,0.013178,
SubmissionQueue_Process,4130,608.774268,1.757498,2.883703,2.883706,0.000003,9.667827,9.667827,0.000000,0.000000,0.029370,0.000426,0.000776,
ExecuteBackgroundTask,1164,141.168701,1.752944,0.472169,0.472201,0.000032,8.717608,8.717623,0.000016,0.000000,0.041600,0.001506,0.005482,
Priority: High,302,503.879202,1.717539,3.529858,3.534019,0.004161,4.119624,4.129208,0.009584,0.001424,0.047971,0.005687,0.006349,
FDeferredShadingSceneRenderer_Render,191,65.258297,1.620716,5.837431,5.873861,0.036430,8.759112,8.764262,0.005150,0.003088,0.044906,0.008485,0.004193,
FMaterialPSOPrecacheCollectionTask,317,142.993209,1.619987,3.444192,3.444423,0.000230,5.660338,5.661081,0.000743,0.000002,0.041594,0.005110,0.009578,
FEngineLoop::Init,1,0.617490,1.619459,4.101403,5.720862,1.619459,4.101403,5.720862,1.619459,1.619459,1.619459,1.619459,0.000000,
GEngine->Init,1,0.638657,1.565786,4.102059,5.667844,1.565786,4.102059,5.667844,1.565786,1.565786,1.565786,1.565786,0.000000,
UGameEngine::Init,1,0.638666,1.565763,4.102079,5.667841,1.565763,4.102079,5.667841,1.565763,1.565763,1.565763,1.565763,0.000000,
UEngine::Init,1,0.645903,1.548220,4.102174,5.650394,1.548220,4.102174,5.650394,1.548220,1.548220,1.548220,1.548220,0.000000,
Sync_RenderingThread,230,34.518029,1.515797,2.946165,2.946174,0.000008,9.609347,9.609350,0.000003,0.000000,0.106711,0.006590,0.012851,
GameThreadWaitForTask,259,39.316577,1.509288,2.947605,2.947808,0.000204,9.534974,9.535157,0.000183,0.000033,0.106406,0.005827,0.009802,
Tick_Engine,191,61.021579,1.412145,5.724816,5.728790,0.003974,8.722393,8.854856,0.132462,0.001732,0.231378,0.007393,0.025170,
FAudioDevice::Init,1,0.723894,1.381418,4.268353,5.649770,1.381418,4.268353,5.649770,1.381418,1.381418,1.381418,1.381418,0.000000,
FD3D12Queue::ExecuteCommandLists,6219,925.739552,1.315164,2.946174,2.949084,0.002910,9.663916,9.664046,0.000130,0.000030,0.024077,0.000211,0.000353,
TaskWorkerIsLookingForWork,33055,3578.109314,1.129825,0.468707,0.468731,0.000025,9.706801,9.706826,0.000025,0.000000,0.002899,0.000034,0.000048,
FViewport_Draw,194,61.359764,1.072844,5.693033,5.693042,0.000009,8.723783,8.854714,0.130931,0.000000,0.228732,0.005530,0.025641,
PostProcessing,1186,412.582615,1.026702,5.891242,5.891248,0.000006,8.765727,8.765818,0.000091,0.000002,0.019923,0.000866,0.001270,
FEngineLoop::Exit,1,0.996393,1.003620,8.855618,9.859238,1.003620,8.855618,9.859238,1.003620,1.003620,1.003620,1.003620,0.000000,
InitializeCVarsForActiveDeviceProfile,1,1.035035,0.966151,1.051786,2.017937,0.966151,1.051786,2.017937,0.966151,0.966151,0.966151,0.966151,0.000000,
FWindowsDeviceProfileSelectorModule::GetRuntimeDeviceProfileName,2,0.851716,0.965817,1.051853,2.017668,0.965815,3.400051,3.400053,0.000002,0.000002,0.965815,0.482908,0.682933,
LoadDynamicRHIModule,2,1.513010,0.962202,1.055654,2.017660,0.962007,2.377326,2.377521,0.000195,0.000195,0.962007,0.481101,0.680104,
FEngineLoop::PreInitPostStartupScreen,1,1.044525,0.957373,3.143942,4.101316,0.957373,3.143942,4.101316,0.957373,0.957373,0.957373,0.957373,0.000000,
ChooseDefaultRHI,2,1.516350,0.943398,1.058408,2.001805,0.943397,2.377364,2.377365,0.000001,0.000001,0.943397,0.471699,0.667082,
