Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
FEngineLoop::Init,1,1.000000,0.007866,0.007866,0.007866,0.007866,0.007866,0.000000,0.000000,0.000000,0.000000,0.000000
GEngine->Start(),1,1.000000,0.007866,0.007866,0.007866,0.007866,0.007866,0.000000,0.000000,0.000000,0.000000,0.000000
UGameEngine::Start,1,1.000000,0.007866,0.007866,0.007866,0.007866,0.007866,0.000000,0.000000,0.000000,0.000000,0.000000
UGameInstance::StartGameInstance,1,1.000000,0.007866,0.007866,0.007866,0.007866,0.007866,0.000117,0.000117,0.000117,0.000117,0.000117
ParallelFor,11,11.000000,0.004079,0.000001,0.001487,0.000371,0.000031,0.000093,0.000000,0.000020,0.000008,0.000007
FRealtimeGC_PerformReachabilityAnalysis,1,1.000000,0.001505,0.001505,0.001505,0.001505,0.001505,0.000029,0.000029,0.000029,0.000029,0.000029
CollectGarbageFull,1,1.000000,0.001476,0.001476,0.001476,0.001476,0.001476,0.000059,0.000059,0.000059,0.000059,0.000059
ParallelFor Task,3,3.000000,0.001408,0.000014,0.001100,0.000469,0.000288,0.001408,0.000014,0.001100,0.000469,0.000288
PerformReachabilityAnalysisOnObjectsInternal,1,1.000000,0.001404,0.001404,0.001404,0.001404,0.001404,0.001353,0.001353,0.001353,0.001353,0.001353
ShrinkUObjectHashTables,1,1.000000,0.001404,0.001404,0.001404,0.001404,0.001404,0.000038,0.000038,0.000038,0.000038,0.000038
ParallelFor.Wait,4,4.000000,0.001164,0.000004,0.000543,0.000291,0.000371,0.001164,0.000004,0.000543,0.000291,0.000371
GatherUnreachableObjects,1,1.000000,0.001068,0.001068,0.001068,0.001068,0.001068,0.000016,0.000016,0.000016,0.000016,0.000016
IncrementalPurgeGarbage,1,1.000000,0.001048,0.001048,0.001048,0.001048,0.001048,0.000007,0.000007,0.000007,0.000007,0.000007
IncrementalDestroyGarbage,1,1.000000,0.001040,0.001040,0.001040,0.001040,0.001040,0.000001,0.000001,0.000001,0.000001,0.000001
NotifyUnreachableObjects,1,1.000000,0.001036,0.001036,0.001036,0.001036,0.001036,0.000050,0.000050,0.000050,0.000050,0.000050
GC.VerifyAssumptions,1,1.000000,0.000922,0.000922,0.000922,0.000922,0.000922,0.000922,0.000922,0.000922,0.000922,0.000922
ConditionalFinishDestroy,1,1.000000,0.000815,0.000815,0.000815,0.000815,0.000815,0.000711,0.000711,0.000711,0.000711,0.000711
FTaskBase::TryRetractAndExecute,2,2.000000,0.000693,0.000007,0.000686,0.000347,0.000683,0.000010,0.000003,0.000007,0.000005,0.000007
RemoveUnreachableScriptObjects,1,1.000000,0.000683,0.000683,0.000683,0.000683,0.000683,0.000000,0.000000,0.000000,0.000000,0.000000
FMemory::Trim,1,1.000000,0.000501,0.000501,0.000501,0.000501,0.000501,0.000216,0.000216,0.000216,0.000216,0.000216
UnhashUnreachableObjects,1,1.000000,0.000292,0.000292,0.000292,0.000292,0.000292,0.000016,0.000016,0.000016,0.000016,0.000016
FTaskGraphInterface_BroadcastSlow,1,1.000000,0.000285,0.000285,0.000285,0.000285,0.000285,0.000018,0.000018,0.000018,0.000018,0.000018
FMallocBinnedCommonUtils::FlushCurrentThreadCache,1,1.000000,0.000267,0.000267,0.000267,0.000267,0.000267,0.000006,0.000006,0.000006,0.000006,0.000006
FMallocBinnedCommonUtils::TrimThreadFreeBlockLists,1,1.000000,0.000261,0.000261,0.000261,0.000261,0.000261,0.000261,0.000261,0.000261,0.000261,0.000261
VerifyObjectLoadFlagsWhenFinishedLoading,1,1.000000,0.000246,0.000246,0.000246,0.000246,0.000246,0.000000,0.000000,0.000000,0.000000,0.000000
VerifyObjectLoadFlagsDebugTask,1,1.000000,0.000230,0.000230,0.000230,0.000230,0.000230,0.000230,0.000230,0.000230,0.000230,0.000230
ConditionalBeginDestroy,1,1.000000,0.000229,0.000229,0.000229,0.000229,0.000229,0.000229,0.000229,0.000229,0.000229,0.000229
DestroyObjects,1,1.000000,0.000223,0.000223,0.000223,0.000223,0.000223,0.000001,0.000001,0.000001,0.000001,0.000001
FObjectPurge::DestroyObjects,1,1.000000,0.000223,0.000223,0.000223,0.000223,0.000223,0.000223,0.000223,0.000223,0.000223,0.000223
GC.VerifyObjectFlags,1,1.000000,0.000218,0.000218,0.000218,0.000218,0.000218,0.000218,0.000218,0.000218,0.000218,0.000218
BroadcastPreGarbageCollect,1,1.000000,0.000125,0.000125,0.000125,0.000125,0.000125,0.000077,0.000077,0.000077,0.000077,0.000077
FScene::Release,1,1.000000,0.000103,0.000103,0.000103,0.000103,0.000103,0.000032,0.000032,0.000032,0.000032,0.000032
FWaitingQueue_Unpark_SignalWaitingThread,25,25.000000,0.000097,0.000002,0.000008,0.000004,0.000004,0.000097,0.000002,0.000008,0.000004,0.000004
ForEachObjectOfClass,3,3.000000,0.000082,0.000004,0.000071,0.000027,0.000007,0.000038,0.000000,0.000036,0.000013,0.000002
ForEachObjectOfClasses_Implementation,3,3.000000,0.000044,0.000004,0.000036,0.000015,0.000004,0.000044,0.000004,0.000036,0.000015,0.000004
BroadcastPostGarbageCollect,1,1.000000,0.000043,0.000043,0.000043,0.000043,0.000043,0.000043,0.000043,0.000043,0.000043,0.000043
BroadcastGarbageCollectConditionalBeginDestroy,1,1.000000,0.000037,0.000037,0.000037,0.000037,0.000037,0.000037,0.000037,0.000037,0.000037,0.000037
VerifyLoadedPackages,1,1.000000,0.000031,0.000031,0.000031,0.000031,0.000031,0.000001,0.000001,0.000001,0.000001,0.000001
FRenderAssetStreamingManager::OnPreGarbageCollect,1,1.000000,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030,0.000030
BroadcastPostReachabilityAnalysis,1,1.000000,0.000027,0.000027,0.000027,0.000027,0.000027,0.000011,0.000011,0.000011,0.000011,0.000011
FNiagaraWorldManager::OnPostReachabilityAnalysis,1,1.000000,0.000013,0.000013,0.000013,0.000013,0.000013,0.000006,0.000006,0.000006,0.000006,0.000006
FStreamableManager::OnPreGarbageCollect,5,5.000000,0.000010,0.000000,0.000009,0.000002,0.000000,0.000010,0.000000,0.000009,0.000002,0.000000
BroadcastGarbageCollectStarted,1,1.000000,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009
BroadCastPostGarbageCollectConditionalBeginDestroy,1,1.000000,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009,0.000009
VerifyUnreachableObjects,1,1.000000,0.000009,0.000009,0.000009,0.000009,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000
ZenaphoreTrigger,1,1.000000,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007,0.000007
GC.GatherUnreachable,1,1.000000,0.000006,0.000006,0.000006,0.000006,0.000006,0.000001,0.000001,0.000001,0.000001,0.000001
GatherUnreachableObjectsTask,5,5.000000,0.000005,0.000000,0.000003,0.000001,0.000001,0.000005,0.000000,0.000003,0.000001,0.000001
UEngine::PreGarbageCollect,1,1.000000,0.000004,0.000004,0.000004,0.000004,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000
Tasks::Wait,1,1.000000,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003
FGroomBindingCompilingManager::CancelUnreachableGroomBindings,1,1.000000,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003,0.000003
CollectUnreachableObjects,1,1.000000,0.000003,0.000003,0.000003,0.000003,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000
MarkClusteredObjectsAsReachableTask,2,2.000000,0.000002,0.000000,0.000002,0.000001,0.000002,0.000002,0.000000,0.000002,0.000001,0.000002
BroadcastPostPurgeGarbage,1,1.000000,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002
FPhysScene_Chaos::ProcessDeferredCreatePhysicsState,1,1.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001
UActorComponent::DestroyPhysicsState,7,7.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000
AcquireGCLock,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ClearWeakReferences,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
FAsyncLoadingThread2::OnGarbageCollectStarted,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
SuccessfulTaskRetraction,2,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
WaitUntilTasksComplete,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
FAbandonedRenderAssetUpdateManager::OnPostGarbageCollect,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ConditionalFinishDestroyDeferred,1,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
