Name,Count,FirstSeconds,LastSeconds,
WinMain.Enter,1,0.344161,0.344161,
DefaultMain,1,0.344289,0.344289,
FlushAsyncLoading,83,4.805724,12.253785,
LoadMap - /Game/Calibration/Maps/EmberveilCalibration,1,8.130936,8.130936,
GC,1,8.136694,8.136694,
LoadMapComplete - /Game/Calibration/Maps/EmberveilCalibration,1,8.325400,8.325400,
Tick loop starting,1,8.332054,8.332054,
PSO/Encountered new graphics PSO,35,8.658535,10.934064,
PSO/Encountered new compute PSO,1,8.659092,8.659092,
Engine exit requested (reason: Win RequestExit),1,11.644204,11.644204,
Tick loop end,1,11.739627,11.739627,
Engine exit requested (reason: EngineExit() was called),1,11.739629,11.739629,
EngineLoop.Exit,1,11.739672,11.739672,
WinMain.Exit,1,12.876712,12.876712,
